name,kSAT,vars,solution,runtime
dpll,6,18,S,0.16123628616333008
dpll,6,18,S,0.15552592277526855
dpll,6,18,S,0.17016863822937012
dpll,6,18,S,0.24898481369018555
dpll,6,18,S,0.15531229972839355
dpll,6,18,S,0.23578119277954102
dpll,6,18,S,0.16660428047180176
dpll,6,18,S,0.15315890312194824
dpll,6,18,S,0.16994547843933105
dpll,6,18,S,0.15624213218688965
dpll,6,20,S,0.19436430931091309
dpll,6,20,S,0.21363019943237305
dpll,6,20,S,0.2076568603515625
dpll,6,20,S,0.2082366943359375
dpll,6,20,S,0.20875000953674316
dpll,6,20,S,0.18862128257751465
dpll,6,20,S,0.31697607040405273
dpll,6,20,S,0.18491792678833008
dpll,6,20,S,0.1965470314025879
dpll,6,20,S,0.3025929927825928
dpll,6,22,S,0.2356276512145996
dpll,6,22,S,0.22987055778503418
dpll,6,22,S,0.3176572322845459
dpll,6,22,S,0.358992338180542
dpll,6,22,S,0.22758936882019043
dpll,6,22,S,0.22577929496765137
dpll,6,22,S,0.31116414070129395
dpll,6,22,S,0.24391388893127441
dpll,6,22,S,0.292386531829834
dpll,6,22,S,0.26883673667907715
dpll,6,24,S,0.2856767177581787
dpll,6,24,S,0.28795289993286133
dpll,6,24,S,0.2857046127319336
dpll,6,24,S,0.2772681713104248
dpll,6,24,S,0.2864201068878174
dpll,6,24,S,0.2744724750518799
dpll,6,24,S,0.2814662456512451
dpll,6,24,S,0.27721595764160156
dpll,6,24,S,0.2818136215209961
